
2025/01/29 (13:41:35) | ===> btop++ v.1.4.0
2025/01/29 (13:41:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (16:15:30) | ===> btop++ v.1.4.0
2025/02/01 (16:15:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (16:59:54) | ===> btop++ v.1.4.0
2025/02/01 (16:59:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (22:51:13) | ===> btop++ v.1.4.0
2025/02/01 (22:51:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (22:58:00) | ===> btop++ v.1.4.0
2025/02/01 (22:58:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (00:43:15) | ===> btop++ v.1.4.0
2025/02/02 (00:43:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (15:06:42) | ===> btop++ v.1.4.0
2025/02/02 (15:06:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (15:08:15) | ===> btop++ v.1.4.0
2025/02/02 (15:08:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (15:10:13) | ===> btop++ v.1.4.0
2025/02/02 (15:10:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (15:10:29) | ===> btop++ v.1.4.0
2025/02/02 (15:10:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (15:10:45) | ===> btop++ v.1.4.0
2025/02/02 (15:10:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (15:11:02) | ===> btop++ v.1.4.0
2025/02/02 (15:11:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (15:11:05) | ===> btop++ v.1.4.0
2025/02/02 (15:11:05) | WARNING: Intel GPU: Failed to initialize PMU
